film_title,tmdb_id,person_name,character_name,billing_order
The Marvels,609681,Brie Larson,Carol Danvers / Captain Marvel,0
The Marvels,609681,Teyonah Parris,Monica Rambeau,1
The Marvels,609681,Iman Vellani,Kamala Khan / Ms. Marvel,2
The Marvels,609681,Samuel L. Jackson,Nick Fury,3
The Marvels,609681,Zawe Ashton,Dar-Benn,4
The Marvels,609681,Gary Lewis,Emperor Dro'ge,5
The Marvels,609681,Park Seo-jun,Prince Yan,6
The Marvels,609681,Zenobia Shroff,Muneeba Khan,7
The Marvels,609681,Mohan Kapur,Yusuf Khan,8
The Marvels,609681,Saagar Shaikh,Aamir Khan,9
Deadpool & Wolverine,533535,Ryan Reynolds,Wade Wilson / Deadpool / Nicepool,0
Deadpool & Wolverine,533535,Hugh Jackman,Logan / Wolverine,1
Deadpool & Wolverine,533535,Emma Corrin,Cassandra Nova,2
Deadpool & Wolverine,533535,Matthew Macfadyen,Mr. Paradox,3
Deadpool & Wolverine,533535,Dafne Keen,Laura / X-23,4
Deadpool & Wolverine,533535,Jon Favreau,Happy Hogan,5
Deadpool & Wolverine,533535,Morena Baccarin,Vanessa,6
Deadpool & Wolverine,533535,Rob Delaney,Peter,7
Deadpool & Wolverine,533535,Leslie Uggams,Blind Al,8
Deadpool & Wolverine,533535,Jennifer Garner,Elektra,9
Captain America: Brave New World,822119,Anthony Mackie,Sam Wilson / Captain America,0
Captain America: Brave New World,822119,Harrison Ford,President Thaddeus Ross,1
Captain America: Brave New World,822119,Danny Ramirez,Joaquin Torres,2
Captain America: Brave New World,822119,Shira Haas,Ruth Bat-Seraph,3
Captain America: Brave New World,822119,Tim Blake Nelson,Samuel Sterns,4
Captain America: Brave New World,822119,Carl Lumbly,Isaiah Bradley,5
Captain America: Brave New World,822119,Giancarlo Esposito,Sidewinder,6
Captain America: Brave New World,822119,Liv Tyler,Betty Ross,7
Captain America: Brave New World,822119,Xosha Roquemore,Leila Taylor,8
Captain America: Brave New World,822119,Jóhannes Haukur Jóhannesson,Copperhead,9
Thunderbolts*,986056,Florence Pugh,Yelena Belova,0
Thunderbolts*,986056,Sebastian Stan,Bucky Barnes,1
Thunderbolts*,986056,Julia Louis-Dreyfus,Valentina Allegra de Fontaine,2
Thunderbolts*,986056,Lewis Pullman,Robert Reynolds,3
Thunderbolts*,986056,David Harbour,Alexei Shostakov,4
Thunderbolts*,986056,Wyatt Russell,John Walker,5
Thunderbolts*,986056,Hannah John-Kamen,Ava Starr,6
Thunderbolts*,986056,Olga Kurylenko,Antonia Dreykov,7
Thunderbolts*,986056,Geraldine Viswanathan,Mel,8
Thunderbolts*,986056,Wendell Pierce,Congressman Gary,9
